日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,开板次数,封单额,流通市值,涨停原因
2026-06-01,涨停池,600011.SH,华能国际,9.76,10.0338,6.4786,2,14:56:15,14:56:15,,121900448.0,107337649000.0,火电+绿电+算电协同+央企
2026-06-01,涨停池,002667.SZ,*ST威领,19.55,4.9946,7.3656,1,14:56:09,13:53:57,6,1521596.1,4625745100.0,控制权拟变更+一季度扭亏+锂电+碳酸锂
2026-06-01,涨停池,000539.SZ,粤电力A,9.77,10.0225,18.6464,4,14:55:39,09:25:00,183,21490248.0,24966130000.0,电力+业绩减亏+广东国资
2026-06-01,涨停池,600546.SH,山煤国际,15.27,10.0144,3.9654,1,14:55:33,14:17:51,2,4127481.0,30272105000.0,煤炭+山西国资+业绩增长
2026-06-01,涨停池,603678.SH,火炬电子,53.28,9.9917,8.2636,3,14:55:04,09:32:22,6,82950620.0,25338190000.0,MLCC+超级电容+商业航天+产业基金
2026-06-01,涨停池,600289.SH,ST信通,6.39,4.9261,1.1645,1,14:54:01,14:06:49,2,1188540.0,3616246000.0,算力+GPU定制+ST板块
2026-06-01,涨停池,301329.SZ,信音电子,31.38,20.0,44.8401,1,14:53:00,10:28:00,2,7628729.0,1881042700.0,商业航天+新能源连接器+Q1业绩增长
2026-06-01,涨停池,002951.SZ,金时科技,19.4,9.9773,6.9557,6,14:50:24,14:50:24,,98012680.0,7781813800.0,超级电容+储能电站+间接投资光纤公司
2026-06-01,涨停池,002055.SZ,ST得润,7.77,5.0,10.5425,1,14:49:42,09:31:21,9,3402957.0,4615302400.0,高速连接器+存储芯片+英伟达概念
2026-06-01,涨停池,603778.SH,国晟科技,18.39,9.988,9.9492,1,14:48:14,14:47:08,1,48167088.0,11822142800.0,固态电池+光伏+一季报增长
2026-06-01,涨停池,002099.SZ,海翔药业,6.07,9.9638,3.375,1,14:48:00,14:48:00,,26062134.0,9807483100.0,渐冻症创新药+创投概念+原料药
