日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,开板次数,封单额,流通市值,涨停原因
2026-08-13,涨停池,603466.SH,风语筑,13.72,10.0241,24.0119,2,14:47:07,09:48:49,58,10245615.8,8161046900.0,具身智能+联手宇树科技+AI视频生成+中报预增
2026-08-13,涨停池,603191.SH,望变电气,16.94,10.0,11.9034,2,14:47:02,13:34:02,1,11812262.0,5589601000.0,定增获批+AI数据中心+华为超充+输配电
2026-08-13,涨停池,688496.SH,*ST清越,1.04,19.5402,7.7952,1,14:45:15,14:39:06,4,1068623.92,247463420.0,ST板块+面值退市博弈+电子纸模组
2026-08-13,涨停池,002396.SZ,星网锐捷,32.38,9.9864,14.6724,1,14:41:51,10:32:24,5,45707608.0,24525101000.0,CPO+数据中心交换机+半年报预增+福建国资
2026-08-13,涨停池,000887.SZ,中鼎股份,23.69,9.9814,5.8574,2,14:36:42,09:30:00,1,358524270.0,31137440000.0,腾讯云合作+算力液冷+人形机器人
2026-08-13,涨停池,603118.SH,共进股份,15.96,9.9931,13.8903,1,14:36:06,09:35:18,4,89279235.0,12564931400.0,数据中心交换机+机器人+网通设备+唐山国资
2026-08-13,涨停池,605179.SH,一鸣食品,33.43,10.0033,6.4788,4,14:30:35,09:48:59,17,34526504.0,13405430000.0,乳业+谐音炒作+低温乳品
2026-08-13,涨停池,601999.SH,出版传媒,6.74,9.9511,5.5536,1,14:21:19,09:53:07,2,13055380.0,3713165100.0,AI应用+文化传媒+辽宁国企
2026-08-13,涨停池,002581.SZ,*ST未名,4.27,10.0515,4.3823,1,14:06:09,10:49:54,4,3821650.0,1711378300.0,创新药+神经生长因子+中药饮片+医药流通
2026-08-13,涨停池,002724.SZ,海洋王,6.16,10.0,3.9281,1,14:00:48,14:00:48,,47744066.0,3497494600.0,照明+智慧灯杆+物联网
2026-08-13,涨停池,601991.SH,大唐发电,6.92,10.0159,7.2434,1,13:45:01,13:45:01,,377052580.0,85780937000.0,超超临界火电+定增扩产+央企
2026-08-13,涨停池,603998.SH,方盛制药,10.77,10.0102,9.055,1,13:43:21,13:27:03,1,47330057.0,4728906200.0,集采中选+中药创新药+洛索洛芬钠凝胶贴膏
2026-08-13,涨停池,000006.SZ,深振业A,7.7,10.0,2.8771,1,13:27:27,13:27:27,,36384579.0,10394961900.0,房地产+城中村改造+资产出售+深圳国资
2026-08-13,涨停池,002543.SZ,万和电气,7.33,10.0601,3.0363,1,13:26:00,13:25:33,1,20987285.0,4849660700.0,热泵+厨卫电器+海外布局
2026-08-13,涨停池,601886.SH,江河集团,11.53,10.0191,4.025,4,13:25:56,10:10:17,3,11568890.7,13063513800.0,半年报增长+BIPV+海外幕墙
2026-08-13,涨停池,603330.SH,天洋新材,9.71,9.966,15.6205,2,13:06:43,10:14:37,8,46783168.0,4201261100.0,CPO+电子胶+半年报预盈+出售子公司
2026-08-13,涨停池,603890.SH,春秋电子,20.45,10.0054,8.7395,1,13:05:56,13:05:26,1,45793481.0,9137707500.0,客户联想集团+液冷服务器+人形机器人+AIPC
2026-08-13,涨停池,000695.SZ,滨海能源,14.39,10.0153,7.7164,1,13:04:15,13:04:15,,17070857.0,3191862300.0,源网荷储绿电+锂电池负极+硅碳负极
2026-08-13,涨停池,301060.SZ,兰卫医学,11.96,19.9599,10.6515,1,13:04:12,13:04:12,,50473628.0,4307590200.0,病理AI+CRO概念+医疗服务
2026-08-13,涨停池,603903.SH,中持股份,14.2,9.9923,6.3574,1,13:00:15,13:00:15,,18843400.0,3625536600.0,半导体设备+污水处理+芯长征入主
2026-08-13,涨停池,603261.SH,立航科技,57.37,10.0096,3.7685,1,11:28:19,10:01:10,1,72905796.0,4446463100.0,飞机地面保障设备+军工+可控核聚变
2026-08-13,涨停池,002921.SZ,联诚精密,24.63,10.0045,7.3106,1,11:21:09,11:21:09,,65391419.0,3163554300.0,机器人+精密制造+中报预计扭亏
2026-08-13,涨停池,688137.SH,近岸蛋白,64.0,20.0075,10.4162,1,11:16:37,11:16:37,,43492864.0,4474717000.0,CRO+重组蛋白+AI医药
2026-08-13,涨停池,300937.SZ,药易购,31.7,19.9849,29.4273,1,11:13:18,11:13:18,,63729680.0,2056194600.0,医药零售整合+医药电商+AI医疗
2026-08-13,涨停池,600491.SH,ST龙元,1.5,10.2941,11.762,2,11:05:05,11:05:05,,8573388.0,2294636900.0,要约收购+建筑总包+绿色建筑
2026-08-13,涨停池,301520.SZ,万邦医药,88.68,20.0,49.2848,3,10:57:39,10:44:45,5,29576731.0,2899697900.0,创新药+CRO+收购赛德盛
2026-08-13,涨停池,300534.SZ,陇神戎发,18.92,19.9746,34.1073,1,10:55:15,10:55:15,,17417601.0,5714814200.0,中药+创新药+甘肃国资
2026-08-13,涨停池,601026.SH,道生天合,16.63,9.9868,12.0474,1,10:45:07,10:43:40,1,40857648.0,1847355000.0,环氧塑封材料+半导体封装+风电材料+海外风电
2026-08-13,涨停池,000593.SZ,德龙汇能,27.8,10.0119,10.2495,2,10:42:18,10:42:18,,55467644.0,9965832100.0,牛散举牌+天然气+氢能
2026-08-13,涨停池,002644.SZ,佛慈制药,8.8,10.0,5.0329,1,10:37:39,10:36:18,1,15894560.0,4493781600.0,流感中成药+中药创新+国企改革
2026-08-13,涨停池,688265.SH,南模生物,52.42,20.0092,7.6259,1,10:35:26,10:35:26,,31725108.0,4086847400.0,AI制药+基因修饰模型+CRO服务
