日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,开板次数,封单额,流通市值,涨停原因
2026-08-10,涨停池,000506.SZ,招金黄金,19.94,9.9835,12.0725,2,13:53:39,13:53:39,,297333320.0,18518417000.0,未知
2026-08-10,涨停池,002580.SZ,圣阳股份,20.99,10.0105,19.1723,1,13:52:36,13:47:03,1,1119811380.0,9494591400.0,未知
2026-08-10,涨停池,000656.SZ,金科股份,1.29,10.2564,3.8511,1,13:43:51,13:43:51,,107796012.0,9787680200.0,摘帽+扭亏为盈+不动产综合运营+代建
2026-08-10,涨停池,301051.SZ,信濠光电,20.72,19.9768,10.6319,1,13:41:51,13:41:51,,207272750.0,4679345000.0,储能调频+玻璃盖板+车载玻璃
2026-08-10,涨停池,603162.SH,海通发展,12.68,9.974,12.4037,1,13:41:00,09:53:12,18,94833631.0,5354122900.0,干散货航运+运力扩张+中报增长
2026-08-10,涨停池,601020.SH,华钰矿业,23.27,10.0236,5.7244,1,13:39:16,13:39:16,,730453050.0,19080579000.0,锑资源+黄金概念+有色金属采选+控制权变更
2026-08-10,涨停池,603188.SH,亚邦股份,4.44,9.901,4.9144,1,13:34:41,13:31:35,3,21425220.0,2531554800.0,染料+资产处置+一季报增长+常州国资
2026-08-10,涨停池,605286.SH,同力天启,25.61,10.0086,3.0687,1,13:23:21,13:23:21,,113564984.0,4302480000.0,算电协同+储能+风电+电梯部件
2026-08-10,涨停池,600664.SH,哈药股份,7.52,9.9415,5.0295,2,13:20:59,09:25:02,1,473522160.0,18939194000.0,创新药+集采拟中标+半年报预增
2026-08-10,涨停池,600833.SH,第一医药,11.01,9.99,5.8062,1,13:16:07,09:43:43,1,52862588.0,2456180700.0,医药商业+中报预增+上海国资
2026-08-10,涨停池,001300.SZ,三柏硕,11.57,9.981,2.84,1,13:13:21,13:13:21,,146011090.0,2820487300.0,蹦床龙头+健身器材+外销为主
2026-08-10,涨停池,002739.SZ,儒意电影,9.93,9.9668,9.257,1,13:09:15,13:09:15,,426762060.0,20674278000.0,暑期档+IP潮玩+院线龙头
2026-08-10,涨停池,600722.SH,金牛化工,12.52,10.0176,18.1871,1,13:08:48,13:07:12,1,146179760.0,8517602300.0,甲醇+风电+河北国资
2026-08-10,涨停池,603020.SH,爱普股份,11.01,9.99,3.0849,1,13:05:30,13:04:48,2,56599107.0,4135771900.0,香精香料+Omega-3鱼油+收购整合
