日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,开板次数,封单额,流通市值,涨停原因
2026-06-02,涨停池,000700.SZ,模塑科技,15.07,10.0,12.3245,1,11:29:51,09:36:57,4,163271390.0,13834492000.0,人形机器人+保险杠龙头+一季报增长
2026-06-02,涨停池,603189.SH,*ST网达,13.01,5.004,2.3573,2,11:29:33,11:29:33,,9354190.0,3506824000.0,ST板块+摘帽预期+AI智能体+低空经济
2026-06-02,涨停池,601869.SH,长飞光纤,408.74,10.0005,4.4614,1,11:20:20,11:04:17,3,472769940.0,166086720000.0,AI算力光纤+空芯光纤+业绩高增+MSCI纳入
2026-06-02,涨停池,301563.SZ,云汉芯城,211.7,19.9977,47.6873,1,11:19:33,11:02:36,2,301438360.0,4051026600.0,电子元器件分销+元器件涨价+一季报增长
2026-06-02,涨停池,600459.SH,贵研铂业,23.45,9.9906,6.5351,4,11:19:13,11:19:13,,490650780.0,17815112000.0,半导体+溅射靶材+铂族回收+云南国资
2026-06-02,涨停池,002713.SZ,*ST东易,12.32,5.0298,2.2208,1,11:09:24,10:35:54,2,11758208.0,6486490200.0,ST板块+摘帽申请+算力中心+家装AI
2026-06-02,涨停池,002980.SZ,华盛昌,112.12,9.9971,9.2233,1,11:00:30,11:00:30,,201730790.0,11356303400.0,光通信测试+伽蓝特并购+AI眼镜
2026-06-02,涨停池,002306.SZ,*ST云网,2.21,5.2381,2.0953,1,10:59:33,10:55:39,1,6172309.0,1798852500.0,ST板块+光伏边框+申请摘帽
2026-06-02,涨停池,600301.SH,华锡有色,66.55,10.0,8.935,2,10:58:30,10:58:30,,222576480.0,18323590000.0,锡+AI算力需求+广西国资
2026-06-02,涨停池,000586.SZ,汇源通信,16.74,9.9869,11.0877,1,10:58:06,10:58:06,,105626052.0,3200520600.0,定增终止+光纤+电力光缆
2026-06-02,涨停池,603997.SH,继峰股份,15.08,9.9927,2.8783,1,10:56:45,10:56:45,,153551210.0,19185754000.0,乘用车座椅+特斯拉概念+新获定点
