日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,开板次数,封单额,流通市值,涨停原因
2026-04-24,涨停池,002606.SZ,大连电瓷,14.67,9.97,25.6881,2,11:18:30,10:16:54,3,62297622.0,6178153900.0,一季报增长+特高压+海外订单+瓷绝缘子
2026-04-24,涨停池,002331.SZ,皖通科技,9.91,9.9889,9.8002,1,11:16:18,10:51:33,3,117353982.0,3922894800.0,华为合作+智慧交通+AI运维
2026-04-24,涨停池,002812.SZ,恩捷股份,77.18,10.0057,6.8506,1,11:13:09,10:40:21,7,551980940.0,63492673000.0,业绩暴增+隔膜龙头+固态电池+LG大单
2026-04-24,涨停池,603828.SH,ST柯利达,5.49,4.9713,0.657,1,11:10:56,11:10:56,,6895989.0,3271708500.0,控制权变更+光伏建筑一体化+装配化装修
2026-04-24,涨停池,300613.SZ,富瀚微,56.08,20.0086,11.1684,1,11:10:36,09:31:51,1,427356800.0,12315156400.0,一季报暴增+AI算力芯片+车载AI芯片+机器人芯片
2026-04-24,涨停池,603389.SH,*ST亚振,53.34,5.0,0.8666,1,10:55:41,10:55:41,,17136008.0,14015192000.0,钛白粉+锆钛选矿+世博家具
2026-04-24,涨停池,000062.SZ,深圳华强,34.34,9.9936,7.8193,3,10:55:00,10:48:21,1,671638370.0,35881869000.0,华为昇腾+分销龙头+存储芯片+一季报预增
2026-04-24,涨停池,002192.SZ,融捷股份,86.28,9.9949,10.3685,1,10:52:36,10:47:12,1,540810460.0,22356673000.0,锂矿+负极材料+年报增长
2026-04-24,涨停池,600633.SH,浙数文化,15.09,9.9854,10.0701,1,10:49:06,10:35:45,11,301087750.0,19135244000.0,算力+AI应用+数字文化+国企
2026-04-24,涨停池,603520.SH,司太立,11.64,10.0189,10.9493,1,10:44:30,10:33:12,2,131623630.0,5103091000.0,六氟磷酸锂+碘造影剂+产能释放
