日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,开板次数,封单额,流通市值,涨停原因
2026-05-19,涨停池,002207.SZ,*ST准油,10.12,4.9793,6.8662,11,09:30:12,09:30:12,,17079524.0,2639416400.0,未知
2026-05-19,涨停池,003018.SZ,金富科技,71.56,10.0077,0.6572,4,09:30:06,09:30:06,,105200356.0,16987450000.0,未知
2026-05-19,涨停池,603082.SH,北自科技,51.18,9.9936,8.8393,4,09:30:01,09:30:01,,153071600.0,2075702100.0,未知
2026-05-19,涨停池,600965.SH,*ST福成,3.34,5.0314,0.8036,5,09:30:00,09:30:00,,44780282.0,2734461200.0,未知
2026-05-19,涨停池,600506.SH,统一股份,19.98,10.022,0.949,1,09:25:03,09:25:03,,203167930.0,4987499800.0,未知
2026-05-19,涨停池,603008.SH,ST喜临门,8.98,5.0292,0.5737,3,09:25:02,09:25:02,,25594796.0,3307266100.0,未知
2026-05-19,涨停池,603779.SH,威龙股份,12.0,9.9908,0.5294,8,09:25:00,09:25:00,,1351860700.0,3984993000.0,未知
2026-05-19,涨停池,002514.SZ,*ST宝馨,4.12,5.102,0.2013,7,09:25:00,09:25:00,,162315640.0,2282614400.0,未知
2026-05-19,涨停池,002421.SZ,达实智能,3.88,9.915,1.8606,3,09:25:00,09:25:00,,723946270.0,7773103500.0,未知
2026-05-19,涨停池,002067.SZ,景兴纸业,5.28,10.0,1.1846,1,09:25:00,09:25:00,,704744500.0,7062548300.0,未知
2026-05-19,涨停池,000669.SZ,ST金鸿,4.86,4.9676,0.042,4,09:25:00,09:25:00,,26452494.0,3306786800.0,未知
2026-05-19,涨停池,000417.SZ,合百集团,8.66,10.0381,2.2381,2,09:25:00,09:25:00,,345605010.0,6746377700.0,未知
2026-05-19,跌停池,600745.SH,*ST闻泰,16.84,-5.0197,0.0811,1,,,,0.0,20960246000.0,未知
2026-05-19,跌停池,600678.SH,ST金顶,6.23,-5.0305,0.0754,1,,,,0.0,2174207700.0,未知
2026-05-19,跌停池,600370.SH,*ST三房,1.53,-4.9689,0.0112,1,,,,0.0,6147895100.0,未知
2026-05-19,跌停池,600243.SH,*ST海华,4.11,-5.0808,0.1843,1,,,,0.0,1803673500.0,未知
2026-05-19,跌停池,600208.SH,衢州发展,3.96,-10.0,0.0216,1,,,,0.0,33691586000.0,未知
2026-05-19,跌停池,605299.SH,舒华体育,20.45,-9.9912,0.3641,1,,,,0.0,8368682400.0,未知
2026-05-19,跌停池,600180.SH,*ST瑞茂,1.74,-4.918,0.0103,1,,,,0.0,1890731800.0,未知
2026-05-19,跌停池,600759.SH,ST洲际,2.8,-5.0847,0.043,1,,,,0.0,11602320200.0,未知
2026-05-19,跌停池,301139.SZ,*ST元道,4.84,-20.0,0.6221,1,,,,0.0,368649000.0,未知
2026-05-19,跌停池,300658.SZ,延江股份,15.02,-20.0213,0.3224,1,,,,0.0,3317074800.0,未知
2026-05-19,跌停池,002726.SZ,ST龙大,1.73,-4.9451,0.6223,1,,,,0.0,1865586300.0,未知
2026-05-19,跌停池,002667.SZ,*ST威领,20.36,-4.993,0.03,1,,,,0.0,4817400000.0,未知
2026-05-19,跌停池,002620.SZ,*ST瑞和,9.34,-4.9847,0.0867,1,,,,0.0,2952112800.0,未知
2026-05-19,跌停池,002581.SZ,*ST未名,4.91,-5.029,0.1455,1,,,,0.0,1967884600.0,未知
2026-05-19,跌停池,002342.SZ,巨力索具,15.74,-10.0057,0.0621,1,,,,0.0,15026821000.0,未知
2026-05-19,跌停池,002175.SZ,*ST东智,2.68,-4.9645,0.5465,1,,,,0.0,3421772300.0,未知
2026-05-19,跌停池,000677.SZ,ST海龙,2.29,-4.9793,0.0945,1,,,,0.0,1978509500.0,未知
2026-05-19,跌停池,000078.SZ,ST海王,1.9,-5.0,0.0225,1,,,,0.0,4987909800.0,未知
2026-05-19,跌停池,000056.SZ,*ST皇庭,1.36,-4.8951,0.1934,1,,,,0.0,1229077160.0,未知
