日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,开板次数,封单额,流通市值,涨停原因
2026-08-24,涨停池,600367.SH,红星发展,38.15,10.0058,23.2718,1,14:03:05,10:26:11,19,147724430.0,12283276900.0,半年报增长+钡盐放量+玻璃基板上游+MLCC上游
2026-08-24,涨停池,000065.SZ,北方国际,9.98,10.0331,7.7406,1,13:56:06,09:25:00,9,86446760.0,10628885400.0,未知
2026-08-24,涨停池,601083.SH,锦江航运,13.11,9.9832,21.858,1,13:35:13,13:00:52,2,70024443.0,2544913200.0,航运+集装箱运输+东南亚航线
2026-08-24,涨停池,600610.SH,中毅达,8.66,10.0381,11.3682,4,13:18:11,13:18:11,,285062020.0,6137573300.0,营收增长+季戊四醇+产品涨价+中字头
2026-08-24,涨停池,002620.SZ,*ST瑞和,5.71,10.0193,4.2338,1,13:05:51,13:05:51,,25836608.0,1804771300.0,预重整+BIPV+建筑装饰
2026-08-24,涨停池,001268.SZ,联合精密,22.42,10.0098,6.1439,1,11:13:24,09:32:27,1,55926242.0,2115049400.0,成飞概念+航空精密零部件+拟定增
2026-08-24,涨停池,688136.SH,科兴制药,24.66,20.0,10.3594,1,11:10:37,11:10:37,,91309001.0,4980950100.0,半年报净利增长+创新药+药品出海
2026-08-24,涨停池,603330.SH,天洋新材,10.97,10.0301,26.8997,2,11:09:22,10:04:52,8,55506664.0,4746429900.0,光模块胶+中报预盈+资产出售
2026-08-24,涨停池,003035.SZ,南网能源,5.73,9.9808,2.1355,1,11:07:09,09:48:06,4,107028378.0,21704545000.0,虚拟电厂+零碳园区+AI应用+节能服务
2026-08-24,涨停池,603105.SH,芯能科技,7.74,9.9432,6.3263,1,11:03:56,09:50:38,1,98771185.0,3870088000.0,分布式光伏+工商业储能+户用储能
2026-08-24,涨停池,300313.SZ,天山生物,15.36,20.0,23.2154,1,10:58:42,10:58:42,,46930944.0,3031338800.0,肉牛全产业链+活畜销售增长+摘帽
2026-08-24,涨停池,600508.SH,上海能源,9.88,10.0223,3.4835,1,10:34:43,09:52:49,2,145813570.0,9996635400.0,中报增长+煤炭+新能源
