交易日期,股票代码,股票名称,池类型,市场类型,当前价,涨跌幅%,连板天数,涨停标签,涨停状态,首次涨停时间,最后涨停时间,炸板时间,炸板次数,封单金额,封单量,换手率%,成交额,流通市值,涨停原因,所属行业
2026-04-10,300131.SZ,英唐智控,涨停池,GEM,15.42,20.0,0,,换手板,14:03:27,14:56:54,,1,30002139.0,1945664.0,24.7535,3781222800.0,16071765000.0,OCS光路交换机+拟收购光隆集成+存储分销+车载芯片,粤港澳大湾区
2026-04-10,000762.SZ,西藏矿业,涨停池,HS,33.88,10.0,1,首板,换手板,10:09:03,14:55:39,,7,5471620.0,161500.0,15.8808,2736875300.0,17644725000.0,锂盐湖+二期爬坡+宝武央企,西部大开发
2026-04-10,600193.SH,*ST创兴,涨停池,ST,3.52,5.0746,1,首板,换手板,14:11:44,14:54:53,,2,468684.48,133149.0,7.0353,99160537.0,1497313000.0,退市博弈+建筑装饰+算力概念,东数西算(算力)
2026-04-10,002418.SZ,康盛股份,涨停池,HS,5.69,10.058,1,首板,换手板,09:36:48,14:54:51,,1,84812864.0,14905600.0,12.6466,804701130.0,6466100900.0,液冷+算力租赁+家电制冷,液冷服务器
2026-04-10,002787.SZ,华源控股,涨停池,HS,13.78,9.9761,1,首板,换手板,09:39:00,14:54:39,,6,15543840.0,1128000.0,15.6408,534978620.0,3456852400.0,半导体+锂电池结构件+金属包装+年报增长,2025年报预增
2026-04-10,002177.SZ,御银股份,涨停池,HS,8.16,9.973,1,首板,换手板,13:16:21,14:51:51,,3,75380864.0,9237851.0,22.3847,1198983880.0,5507338700.0,智能金融设备+产业园运营+广州资产,粤港澳大湾区
2026-04-10,002824.SZ,和胜股份,涨停池,HS,25.27,10.0131,2,2天2板,换手板,09:30:09,14:51:24,,1,51641696.0,2043597.0,12.6144,697381360.0,5559428800.0,消费电子+AI终端+电池结构件,小米概念
2026-04-10,688690.SH,纳微科技,涨停池,STAR,31.54,20.0152,1,首板,换手板,09:35:22,14:49:40,,2,23321370.0,739422.0,5.5812,703829730.0,12736317700.0,一季报预增+GLP-1+减肥药+色谱填料,2025年报预增
2026-04-10,001309.SZ,德明利,涨停池,HS,447.24,10.0005,1,首板,换手板,13:37:06,14:47:39,,5,57659970.0,128924.0,14.4371,10190105300.0,71950153000.0,存储芯片+业绩暴增,粤港澳大湾区
2026-04-10,603557.SH,ST起步,涨停池,ST,3.78,5.0,1,首板,换手板,14:30:47,14:45:20,,1,1973538.0,522100.0,1.6882,39169453.0,2356591400.0,童装童鞋+三胎概念+此前获赠资产+ST板块,ST板块
