交易日期,股票代码,股票名称,池类型,市场类型,当前价,涨跌幅%,连板天数,涨停标签,涨停状态,首次涨停时间,最后涨停时间,炸板时间,炸板次数,封单金额,封单量,换手率%,成交额,流通市值,涨停原因,所属行业
2026-04-09,603843.SH,*ST正平,涨停池,ST,9.2,5.0228,1,首板,换手板,14:48:47,14:53:35,,1,6461712.0,702360.0,4.1333,249787810.0,6436533800.0,算力租赁+重整预期+ST板块,充电桩
2026-04-09,601869.SH,长飞光纤,涨停池,HS,398.31,10.0,1,首板,换手板,14:53:28,14:53:28,,0,461329810.0,1158218.0,5.2809,8098605800.0,161848610000.0,光纤涨价+AI算力光纤+年报增长,创投
2026-04-09,605318.SH,法狮龙,涨停池,HS,93.17,10.0,2,2天2板,换手板,10:16:23,14:49:02,,70,4546696.0,48800.0,6.182,708398200.0,11714173500.0,AI子公司+装配式建筑+亏损收窄,智能家居
2026-04-09,002947.SZ,恒铭达,涨停池,HS,65.34,10.0,1,首板,换手板,09:56:06,14:47:18,,19,23595581.0,361120.0,16.052,1984812100.0,12586675100.0,消费电子+精密金属结构件+算力服务器+股票期权激励,比亚迪概念
2026-04-09,002636.SZ,金安国纪,涨停池,HS,37.19,9.997,1,首板,换手板,09:53:12,14:40:57,,14,51716414.0,1390600.0,8.6866,2294791900.0,26937290000.0,覆铜板涨价+高频高速CCL+定增扩产,
2026-04-09,000990.SZ,诚志股份,涨停池,HS,11.04,9.9602,3,3天2板,换手板,11:25:45,14:34:09,,10,5558640.0,503500.0,10.912,1419485600.0,13416212500.0,甲醇+氢能源+POE新材料+青岛国资,小米概念
2026-04-09,002620.SZ,ST瑞和,涨停池,ST,9.92,4.9735,1,首板,换手板,14:16:06,14:19:06,,1,30989584.0,3123950.0,10.3799,316194900.0,3128374200.0,重整投资人+光伏建筑一体化+建筑装饰,ST板块
2026-04-09,600337.SH,美克家居,涨停池,HS,2.86,10.0,1,首板,换手板,09:30:10,14:16:13,,2,36860395.0,12888250.0,9.8391,401302600.0,4109814700.0,重整预期+AI智家+拟收购万德溙（铜缆）,智能家居
2026-04-09,301181.SZ,标榜股份,涨停池,GEM,53.35,19.9955,1,首板,换手板,13:59:30,14:12:54,,3,12367543.7,231819.0,9.8004,435577110.0,4811168200.0,汽车热管理+比亚迪概念,比亚迪概念
2026-04-09,002536.SZ,飞龙股份,涨停池,HS,33.56,9.9967,2,2天2板,换手板,10:42:42,14:05:27,,7,56649381.0,1688003.0,12.2623,2170088000.0,18270100000.0,液冷服务器+机器人+汽车热管理,充电桩
2026-04-09,000070.SZ,特发信息,涨停池,HS,20.88,10.0105,1,首板,换手板,13:58:48,13:58:48,,0,238659460.0,11430051.0,20.9542,3590593300.0,18555614000.0,光纤涨价+CPO+深圳国资,创投
2026-04-09,002580.SZ,圣阳股份,涨停池,HS,17.25,10.0128,1,首板,换手板,13:41:48,13:41:48,,0,163689630.0,9489254.0,25.1297,1824513300.0,7802844300.0,液冷+固态电池+储能+山东国资,创投
2026-04-09,000586.SZ,汇源通信,涨停池,HS,25.12,9.9825,5,5天5板,换手板,09:30:18,13:39:00,,2,103648712.0,4126143.0,27.679,1336684860.0,4859212800.0,光纤+特种光缆+车载电子+定增推进,5G
2026-04-09,002150.SZ,正泰电源,涨停池,HS,32.78,10.0,1,首板,换手板,13:38:00,13:38:00,,0,135327840.0,4128366.0,11.2299,1254120330.0,11753104400.0,光伏逆变器+储能+外销,充电桩
2026-04-09,603757.SH,大元泵业,涨停池,HS,54.16,9.9919,2,2天2板,换手板,13:22:53,13:33:35,,2,33118840.0,611500.0,15.6231,1495413300.0,10103399500.0,液冷+储能+算力+泵业龙头,商业航天
2026-04-09,603507.SH,振江股份,涨停池,HS,46.21,9.9976,1,首板,换手板,13:28:41,13:28:41,,0,96323959.0,2084483.0,9.7552,786937690.0,8399698300.0,风电设备+燃气轮机+外骨骼机器人,商业航天
2026-04-09,603306.SH,华懋科技,涨停池,HS,97.06,9.9955,2,2天2板,换手板,13:23:56,13:23:56,,0,20372894.0,209900.0,6.6592,2059489200.0,31980770000.0,800G光模块+CPO+收购恢复审核,比亚迪概念
2026-04-09,002281.SZ,光迅科技,涨停池,HS,108.09,10.0041,1,首板,换手板,10:18:12,13:22:57,,8,353510940.0,3270524.0,11.431,9380866700.0,84253708000.0,3.2T硅光模块+CPO+央企,芯片概念
2026-04-09,002342.SZ,巨力索具,涨停池,HS,15.59,10.0212,2,2天2板,换手板,09:42:27,13:19:27,,5,207131860.0,13286200.0,28.5582,4158828000.0,14883617000.0,商业航天+深海系泊+索具龙头,商业航天
2026-04-09,002635.SZ,安洁科技,涨停池,HS,15.75,9.986,1,首板,换手板,13:19:21,13:19:21,,0,98272928.0,6239551.0,9.2915,556980720.0,6229646500.0,折叠屏+消费电子+苹果+机器人,充电桩
2026-04-09,002039.SZ,黔源电力,涨停池,HS,21.25,9.9896,1,首板,换手板,13:15:27,13:15:27,,0,73349900.0,3451760.0,7.1826,632817570.0,9085584700.0,一季报预增+水电+央企,
2026-04-09,002650.SZ,ST加加,涨停池,ST,7.7,5.0477,3,3天2板,换手板,09:32:27,13:13:39,,4,15321845.0,1989850.0,1.9447,164872760.0,8524256700.0,减盐酱油+ST摘帽预期+无实控人,ST板块
2026-04-09,605056.SH,咸亨国际,涨停池,HS,29.32,10.0188,1,首板,换手板,13:05:10,13:12:34,,2,26798480.0,914000.0,4.5371,518823980.0,11827488600.0,机器人+电网MRO+央企客户,军工
2026-04-09,600743.SH,华远控股,涨停池,HS,2.41,10.0457,3,3天3板,换手板,13:07:55,13:09:04,,1,36991413.0,15349134.0,8.0387,425000380.0,5654103100.0,物业+轻资产转型+国企,智能家居
2026-04-09,601811.SH,新华文轩,涨停池,HS,15.93,10.0138,1,首板,换手板,13:04:20,13:04:20,,0,59350417.0,3725701.0,3.2398,390035640.0,12615029100.0,出版传媒+IP+高股息+四川国资,人工智能
2026-04-09,603216.SH,梦天家居,涨停池,HS,36.52,10.0,1,首板,换手板,13:01:14,13:01:14,,0,83459339.0,2285305.0,2.6333,205955550.0,8132638800.0,高端木作+芯片概念,智能家居
2026-04-09,000793.SZ,*ST华闻,涨停池,ST,2.82,4.8327,1,首板,换手板,13:00:03,13:00:03,,0,12890815.0,4571211.0,1.4079,75928718.0,5530044300.0,重整继续经营+海南文旅+国资入主,ST板块
2026-04-09,002384.SZ,东山精密,涨停池,HS,131.9,9.9992,2,2天2板,换手板,09:35:48,11:17:09,,12,102847970.0,779742.0,6.7559,12250396700.0,182855840000.0,一季度预增+AI PCB+光芯片,长三角一体化
