日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,开板次数,封单额,流通市值,涨停原因
2026-04-13,涨停池,002436.SZ,兴森科技,25.23,9.9826,13.5202,1,14:56:15,14:19:27,6,44024761.0,38109846000.0,光模块+FCBGA封装基板+存储芯片
2026-04-13,涨停池,600608.SH,*ST沪科,2.44,5.1724,2.7546,1,14:53:01,09:38:40,11,428593.32,776826320.0,花卉转型+扭亏预告+昆明国资
2026-04-13,涨停池,601908.SH,京运通,4.57,10.1205,10.4231,1,14:52:35,13:34:41,3,38365607.0,11034735100.0,硅片+绿色电力+光伏设备
2026-04-13,涨停池,002047.SZ,*ST宝鹰,5.25,5.0,3.2688,2,14:50:39,09:34:51,2,6003375.0,7959834400.0,年报扭亏+申请摘帽+珠海国资+光耦合器
2026-04-13,涨停池,605255.SH,天普股份,115.84,9.9991,3.8047,2,14:48:41,14:48:41,,37485824.0,15531827000.0,中昊芯英入主+汽车管路+多次风险提示
2026-04-13,涨停池,000929.SZ,*ST兰黄,9.93,4.9683,6.0547,1,14:37:27,09:25:00,19,4555884.0,1844539400.0,申请撤销退市风险警示+啤酒饮料+果汁扩产+扭亏预期
2026-04-13,涨停池,002789.SZ,*ST建艺,12.6,5.0,2.2975,1,14:24:45,14:24:45,,6065640.0,1971472800.0,珠海国资+储能+建筑装饰
2026-04-13,涨停池,000968.SZ,蓝焰控股,10.18,10.0541,12.3248,1,14:24:18,13:13:45,19,18558140.0,9849177100.0,油气涨价+煤层气+山西国资
2026-04-13,涨停池,001203.SZ,大中矿业,42.67,10.0026,3.1206,1,14:13:06,14:13:06,,124723557.0,55725916000.0,锂矿放量+固态电池+铁矿龙头
2026-04-13,涨停池,600032.SH,浙江新能,9.79,10.0,4.3976,1,13:56:07,13:56:07,,70860999.0,23541771000.0,绿电+氢能+浙江国资
2026-04-13,涨停池,002876.SZ,三利谱,30.6,9.9928,10.0769,1,13:51:45,13:51:45,,153946640.0,4557613500.0,柔性屏+大尺寸TV+国产化
2026-04-13,涨停池,688667.SH,菱电电控,134.35,19.9982,7.9365,1,13:51:29,10:08:14,2,33672275.0,7079634600.0,并购锐能+年报增长+新能源汽车+理想零跑
2026-04-13,涨停池,002902.SZ,铭普光磁,30.88,10.0107,33.6847,4,13:43:00,13:43:00,,130116987.0,5485283800.0,800G光模块+AI算力+车载磁性元器件
2026-04-13,涨停池,603283.SH,赛腾股份,50.5,9.9978,8.0397,1,13:40:43,13:40:22,1,60852096.0,13694289000.0,HBM检测+半导体设备+存储芯片
2026-04-13,涨停池,688135.SH,利扬芯片,35.63,20.0067,16.9359,1,13:38:26,09:42:38,4,28052889.0,8305493400.0,存储芯片+HBM测试+芯片测试
2026-04-13,涨停池,001270.SZ,*ST铖昌,129.13,5.0008,3.0597,4,13:26:12,10:10:06,9,36918267.0,26277898000.0,T/R芯片+商业航天+扭亏为盈+摘帽预期
2026-04-13,涨停池,600299.SH,安迪苏,15.18,10.0,1.3474,1,13:24:09,13:24:09,,40217983.0,40711261000.0,蛋氨酸涨价+动物营养添加剂+产能扩张+央企改革
2026-04-13,涨停池,002822.SZ,ST中装,3.43,4.893,2.0712,3,13:22:27,13:19:45,1,4519117.6,3666486500.0,IDC算力+光伏新能源+重整完成
2026-04-13,涨停池,600381.SH,*ST春天,2.9,5.0725,1.7534,2,13:21:52,13:00:07,5,1340655.5,1702476100.0,退市博弈+高端白酒+虫草龙头
2026-04-13,涨停池,301667.SZ,纳百川,108.52,20.0044,44.6076,1,13:20:48,13:20:48,,125715103.0,2441098700.0,储能+宁德时代概念+电池液冷板+数据中心液冷
2026-04-13,涨停池,003004.SZ,*ST声迅,30.98,5.0169,1.5106,1,13:17:27,13:17:27,,3479054.0,2129609100.0,亏损收窄+安消一体化+ST博弈
2026-04-13,涨停池,002467.SZ,二六三,7.87,10.0699,26.0555,1,13:16:48,10:38:57,1,95790020.0,10757376700.0,云网融合基础设施+商业航天+数据中心+AI数字人
2026-04-13,涨停池,002515.SZ,金字火腿,6.24,10.0529,8.4213,1,13:16:18,09:57:00,2,57665887.0,7554142000.0,光模块+火腿
2026-04-13,涨停池,000688.SZ,国城矿业,45.13,9.9927,2.2662,1,13:12:21,13:03:18,1,52283105.0,53481911000.0,锂矿+钼矿+有色金属+年报增长
2026-04-13,涨停池,603350.SH,安乃达,38.14,10.0087,9.5222,1,13:11:21,13:11:21,,116270972.0,1678160000.0,机器人+两轮车+越南产能+业绩增长
2026-04-13,涨停池,600166.SH,福田汽车,3.67,9.8802,9.1661,1,13:10:47,13:06:38,1,63707897.0,29056859000.0,固态电池+新能源重卡+出口第一+北京国资
2026-04-13,涨停池,603828.SH,ST柯利达,6.07,5.0173,0.6092,1,13:08:38,13:08:38,,4845893.5,3617353500.0,控制权变更+光伏建筑一体化+装配化装修
2026-04-13,涨停池,002240.SZ,盛新锂能,44.86,10.0049,7.634,1,13:04:21,13:04:21,,234212400.0,40953085000.0,锂盐产能+固态电池+木绒锂矿
2026-04-13,涨停池,603682.SH,锦和商管,6.94,9.9842,2.4591,1,13:03:01,13:03:01,,72591012.0,3279150000.0,城市更新+租售同权+轻资产运营
2026-04-13,涨停池,600982.SH,宁波能源,5.79,10.076,10.2057,1,13:02:18,13:02:18,,97023042.0,6471063100.0,绿电+光伏+国企
2026-04-13,涨停池,002512.SZ,ST达华,4.15,5.0633,8.1815,4,13:00:33,09:30:39,2,21204010.0,4541974900.0,商业航天+卫星通信+显示主板
2026-04-13,涨停池,600527.SH,江南高纤,2.81,10.1961,12.2434,1,13:00:12,13:00:12,,21218512.0,4866248100.0,复合短纤维+涤纶毛条
2026-04-13,涨停池,002529.SZ,*ST海源,7.06,5.0595,2.7302,1,11:28:48,11:00:36,5,4852338.0,1835600000.0,ST板块+汽车轻量化+光伏组件
2026-04-13,涨停池,002080.SZ,中材科技,50.14,10.0044,3.8128,1,11:27:09,10:34:39,1,184853700.0,84141117000.0,AI纤维布+风电叶片+央企背景
2026-04-13,涨停池,603177.SH,德创环保,12.1,10.0,3.4859,1,11:16:35,11:16:35,,72393090.0,2470723200.0,钠离子电池+超超临界发电+大气治理
