日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,开板次数,封单额,流通市值,涨停原因
2026-08-25,涨停池,603758.SH,秦安股份,12.12,9.9819,9.5487,3,14:51:34,13:13:01,5,1454400.0,5249366500.0,未知
2026-08-25,涨停池,002041.SZ,登海种业,11.21,10.0098,9.4026,2,14:44:27,09:34:15,3,13159419.0,9864800000.0,粮食概念+玉米种业+育繁推一体化
2026-08-25,涨停池,600605.SH,汇通能源,26.58,10.0166,3.8061,1,14:41:53,14:41:53,,23632278.0,5482987000.0,液冷散热+半导体光罩+存储芯片
2026-08-25,涨停池,600745.SH,*ST闻泰,18.92,10.0,6.3134,1,14:37:05,14:37:05,,86054328.0,24809448000.0,MOSFET+AI服务器+车规半导体
2026-08-25,涨停池,603912.SH,佳力图,9.08,10.0606,7.4859,1,14:34:19,14:34:19,,84347180.0,4924322700.0,液冷服务器+数据中心+精密空调
2026-08-25,涨停池,002478.SZ,常宝股份,6.92,10.0159,6.7298,1,14:33:18,14:33:18,,83654870.0,5002259500.0,HRSG管（用于燃机）+特材项目+精密管
2026-08-25,涨停池,600053.SH,*ST九鼎,7.76,10.0709,0.9643,1,14:22:20,14:22:20,,11269072.0,3364276600.0,人形机器人+关节模组+建筑施工
2026-08-25,涨停池,000659.SZ,珠海中富,2.85,10.0386,2.9927,1,14:02:03,14:02:03,,41670705.0,3664252200.0,饮料包装+饮料代工+定增入主
2026-08-25,涨停池,600785.SH,新华百货,11.78,9.9907,22.5305,3,14:00:08,09:56:50,1,35625547.0,3721111100.0,回购+新质零售+区域零售
2026-08-25,涨停池,600172.SH,黄河旋风,13.99,9.9843,14.3445,1,13:55:30,13:50:18,1,290128820.0,17951949000.0,金刚石散热+订单交付+超硬材料
2026-08-25,涨停池,002514.SZ,*ST宝馨,1.8,9.7561,8.0999,1,13:50:39,13:50:39,,7067340.0,997258710.0,司法拍卖流拍+智能制造+光伏+机器人
2026-08-25,涨停池,002259.SZ,升达林业,4.19,9.9738,3.7864,1,13:46:45,13:46:45,,33119017.0,3152255400.0,半年报净利增长+天然气+LNG加工
2026-08-25,涨停池,002451.SZ,摩恩电气,8.13,10.0135,7.6733,1,13:37:48,13:36:54,1,74727472.0,3570281400.0,电磁线+特种电缆+智能电网
2026-08-25,涨停池,002856.SZ,*ST美芝,15.49,10.0142,3.8296,1,13:37:33,13:37:33,,15270042.0,1919279800.0,庭外重组+建筑装饰+佛山国资
2026-08-25,涨停池,603217.SH,元利科技,28.39,9.9961,3.0912,1,13:36:52,13:36:52,,123119963.0,5907607000.0,光稳定剂+固态电池+二元醇项目
2026-08-25,涨停池,600371.SH,万向德农,8.67,10.0254,16.1965,1,13:32:49,09:33:19,4,56361901.0,2536651300.0,粮食概念+转基因玉米+玉米种业
2026-08-25,涨停池,002963.SZ,豪尔赛,20.32,10.0162,7.3546,1,13:25:21,13:25:21,,10474960.0,3034595600.0,液冷服务器+智慧光艺+照明工程+智慧城域
2026-08-25,涨停池,003021.SZ,兆威机电,72.78,10.006,2.8699,1,13:19:36,13:19:36,,169364590.0,15090157000.0,人形机器人+灵巧手+微型驱动
2026-08-25,涨停池,003018.SZ,金富科技,45.98,10.0,7.1284,3,13:13:36,13:13:36,,215714660.0,13081841200.0,液冷散热+定增扩产+饮料包装
2026-08-25,涨停池,300097.SZ,智云股份,10.54,20.0456,17.657,1,13:09:48,13:09:48,,32408392.0,2780772600.0,OLED设备+折叠屏+股权激励+股权转让
2026-08-25,涨停池,300922.SZ,天秦装备,20.53,19.9883,13.6649,1,13:07:21,13:07:21,,57256938.0,2591422000.0,军工防护+弹药贮运+装备零部件
2026-08-25,涨停池,600829.SH,人民同泰,10.14,9.9783,7.3279,1,13:06:18,10:59:03,1,141279220.0,5880070400.0,医药商业+DTP药房+半年报增长
