日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,开板次数,封单额,流通市值,涨停原因
2026-06-12,涨停池,603180.SH,金牌家居,17.48,10.0063,3.0112,1,15:00:00,10:03:11,7,594320.0,2696414800.0,分红+飞流AI+家装设计+北美布局
2026-06-12,涨停池,000032.SZ,深桑达A,18.92,10.0,9.2759,2,15:00:00,13:17:57,74,3416952.0,21530189000.0,半导体洁净室+中国电子云增资+AI算力
2026-06-12,涨停池,688163.SH,赛伦生物,45.04,20.0107,5.1089,1,14:55:43,14:32:49,1,33864675.0,4874228800.0,抗蛇毒血清+独家品种
2026-06-12,涨停池,603519.SH,立霸股份,13.64,10.0,7.5038,1,14:55:13,09:41:19,31,1274903.52,3632711700.0,股权转让+第三代半导体+家电复合材料+高股息
2026-06-12,涨停池,600857.SH,宁波中百,15.58,10.0282,8.0016,1,14:52:49,13:38:58,5,1533072.0,3494904300.0,零售+黄金+杭州金帝入主
2026-06-12,涨停池,002971.SZ,和远气体,58.03,10.0095,36.9364,7,14:51:33,09:31:09,84,4537946.0,9075970300.0,六氟化钨+电子特气+硅基功能性新材料
2026-06-12,涨停池,301176.SZ,逸豪新材,56.6,19.9915,9.3747,1,14:50:18,10:23:42,10,6622200.0,9285434200.0,PCB铜箔+AI算力+产能扩张
2026-06-12,涨停池,001359.SZ,平安电工,107.14,10.0,12.3815,1,14:49:54,09:47:39,21,8378348.0,4968799600.0,电子布+云母绝缘+固态电池
2026-06-12,涨停池,301323.SZ,新莱福,103.78,20.0046,10.5831,1,14:49:24,10:43:09,2,22219298.0,7012099400.0,重组并购+钐铁氮+芯片电感
2026-06-12,涨停池,600567.SH,山鹰国际,1.44,9.9237,6.6037,1,14:46:38,10:42:11,11,2496960.0,9082732800.0,回购注销+瓦楞纸涨价+京东合作
2026-06-12,涨停池,600906.SH,财达证券,6.99,10.0787,7.6999,1,14:45:05,13:00:47,46,2872163.0,14848402000.0,券商+河北国资+一季报增长
2026-06-12,涨停池,603959.SH,ST百利,3.89,5.1351,2.855,1,14:43:16,10:09:55,9,4281723.0,1907263100.0,人形机器人+ST板块+重整预期
2026-06-12,涨停池,002789.SZ,*ST建艺,13.64,5.0038,3.3503,1,14:42:21,14:42:21,,9046048.0,2134292400.0,申请摘星+建筑装饰+珠海国资
2026-06-12,涨停池,600576.SH,祥源文旅,6.18,9.9644,6.5853,1,14:40:08,09:52:38,29,3303210.0,4081210700.0,旅游主业+低空文旅
2026-06-12,涨停池,300377.SZ,赢时胜,14.88,20.0,12.4255,1,14:36:54,10:52:12,2,34789440.0,10280921000.0,金融科技+AI应用+信创+资产托管
2026-06-12,涨停池,603843.SH,*ST正平,8.69,4.9517,2.5023,6,14:34:53,14:34:53,,7369989.0,6079725900.0,绿色算力+矿业+预重整
2026-06-12,涨停池,000510.SZ,新金路,19.37,9.9943,11.988,2,14:27:33,10:32:15,1,17901754.0,11750043300.0,石英砂+锡钨钽+氯碱化工+减持终止
2026-06-12,涨停池,002597.SZ,金禾实业,22.24,9.9901,3.6114,1,14:24:12,10:12:15,45,6915505.8,12615569300.0,甜味剂+双氯磺酰亚胺酸+固态电池+增持完成
2026-06-12,涨停池,603120.SH,肯特催化,57.84,10.0038,26.5921,1,14:21:04,10:06:07,39,5800137.4,2192136000.0,半导体清洗+催化新材料+专精特新
2026-06-12,涨停池,001233.SZ,海安集团,51.37,10.0,9.0439,1,14:20:03,14:15:03,2,35679188.0,1937323300.0,全钢巨胎+国产替代+俄罗斯建厂+订单增长
2026-06-12,涨停池,688010.SH,福光股份,47.84,19.99,14.7877,1,14:09:00,10:34:39,36,20487911.0,7681265900.0,商业航天+特种光学镜头+增持
2026-06-12,涨停池,600601.SH,方正科技,12.89,9.9829,8.876,1,14:05:55,13:16:52,16,74754086.0,53755080000.0,AI算力PCB+光模块+珠海国资
2026-06-12,涨停池,601718.SH,ST际华,1.81,5.2326,1.1642,1,14:05:48,13:30:39,7,3982713.1,7893535800.0,ST摘帽预期+央企+军需品
2026-06-12,涨停池,002193.SZ,ST如意,4.58,5.0459,1.8963,1,14:04:45,14:00:12,2,4869914.0,1198650350.0,ST摘帽预期+精纺呢绒+外销占比高
2026-06-12,涨停池,601609.SH,金田股份,12.55,9.9912,6.8369,1,14:00:45,10:13:15,4,36125915.0,21694409000.0,铜加工龙头+算力散热+稀土永磁
2026-06-12,涨停池,603020.SH,爱普股份,13.04,10.0422,6.3484,6,13:57:07,11:24:31,5,3808984.0,4898316600.0,香精香料+鱼油+收购进展+一季报增长
2026-06-12,涨停池,000737.SZ,北方铜业,14.08,10.0,5.6453,1,13:38:57,10:47:51,1,29718177.0,26815913000.0,铜+PCB概念+山西国资+一季报增长
2026-06-12,涨停池,603993.SH,洛阳钼业,19.11,10.0173,2.6077,1,13:36:52,10:41:07,3,139971080.0,333676690000.0,钼代钨+钼钨金属+一季报增长
2026-06-12,涨停池,600292.SH,电投水电,14.51,10.0076,7.3212,1,13:33:28,13:00:46,1,18844616.0,6374004800.0,水电+资产注入+央企国资
2026-06-12,涨停池,603815.SH,交建股份,6.07,9.9638,3.2681,1,13:30:18,13:01:15,11,4587099.0,3756870100.0,基建+QC成果获奖+一带一路
2026-06-12,涨停池,603036.SH,如通股份,14.56,9.9698,7.1975,1,13:30:13,13:30:13,,16694045.0,2999447700.0,油气钻采+天然气
2026-06-12,涨停池,002812.SZ,恩捷股份,67.54,10.0,5.7738,1,13:26:18,13:12:15,14,14223384.0,55562258000.0,隔膜龙头+固态电池+业绩增长
2026-06-12,涨停池,002637.SZ,赞宇科技,12.68,9.974,6.0471,1,13:24:27,13:24:27,,67238236.0,5895878800.0,表面活性剂龙头+油脂化学品+股份回购+高管增持
2026-06-12,涨停池,000759.SZ,中百集团,5.83,10.0,14.6259,1,13:19:27,13:19:27,,79947373.0,3822766100.0,零售+本地生活+国企
2026-06-12,涨停池,002457.SZ,青龙管业,12.95,10.0255,15.1329,1,13:15:57,09:32:06,5,39351165.0,4315851000.0,中标+管材+PCCP龙头
2026-06-12,涨停池,002882.SZ,金龙羽,21.86,10.0151,3.5293,1,13:15:09,13:05:51,1,48024234.0,5394666500.0,固态电池量产+电缆+比亚迪产业链+分红
2026-06-12,涨停池,001330.SZ,博纳影业,7.07,9.9533,11.7458,1,13:09:45,10:07:57,2,96494888.0,8221330600.0,AI影视+AI短剧+《四渡》定档
2026-06-12,涨停池,001206.SZ,依依股份,17.23,10.0255,5.1005,1,13:07:30,13:07:30,,37656096.0,1841274600.0,个护用品+产品提价+宠物卫生用品
2026-06-12,涨停池,603261.SH,*ST立航,35.48,5.0015,0.9123,1,13:02:17,13:02:17,,6244480.0,2749878200.0,撤销*ST申请+低空经济+无人机+航空装备
2026-06-12,涨停池,002997.SZ,瑞鹄模具,29.38,9.9963,3.254,1,11:22:54,11:22:54,,109878262.0,6149860500.0,机器人合作+汽车模具+轻量化+可转债推进
2026-06-12,涨停池,001360.SZ,南矿集团,18.74,9.9765,4.3788,1,11:06:27,11:06:27,,9862862.0,2351576800.0,黄金开采+矿山装备+高端装备
2026-06-12,涨停池,601696.SH,中银证券,11.54,10.0095,3.4545,1,11:05:02,10:49:59,3,85348674.0,32058120000.0,证券+中国银行背景+期货+业绩增长
