日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,开板次数,封单额,流通市值,涨停原因
2026-05-11,涨停池,002865.SZ,钧达股份,106.18,9.9969,8.9603,2,11:29:54,09:33:33,23,6891082.0,23734241000.0,太空光伏+TOPCon电池+外销
2026-05-11,涨停池,603559.SH,ST通脉,8.75,5.042,0.7029,5,11:29:41,09:32:47,1,2392250.0,3511173600.0,摘帽申请+通信工程+扭亏为盈
2026-05-11,涨停池,688008.SH,澜起科技,252.32,19.9981,6.5537,1,11:28:32,11:28:32,,2409630500.0,289266340000.0,CXL运力芯片+存储芯片+AI算力
2026-05-11,涨停池,600130.SH,波导股份,6.77,10.0813,24.4943,4,11:27:22,10:50:34,5,71912971.0,5077500000.0,摘帽+参股华大北斗+汽车电子+消费电子
2026-05-11,涨停池,603063.SH,禾望电气,56.65,10.0,8.4718,4,11:26:14,11:16:44,4,114738910.0,26032895000.0,储能+风电设备+氢能
2026-05-11,涨停池,002396.SZ,星网锐捷,31.81,9.9931,9.1417,1,11:25:06,11:17:54,3,131467549.0,18554146000.0,交换机+CPO+算力+福建国资
2026-05-11,涨停池,600683.SH,京投发展,18.95,9.9826,5.8655,2,11:22:41,09:32:17,18,7134769.8,14037735000.0,TOD轨道物业+拟剥离地产+北京国资
2026-05-11,涨停池,300604.SZ,长川科技,218.41,19.9989,6.2141,1,11:14:39,11:14:39,,1402534700.0,106905456000.0,存储芯片测试+半导体设备+国产替代+业绩大增
2026-05-11,涨停池,603499.SH,翔港科技,23.07,10.0143,4.6579,1,11:07:26,10:36:20,1,128513742.0,6980852600.0,存储芯片+烟包高增+包装印刷
2026-05-11,涨停池,002552.SZ,宝鼎科技,30.42,10.0181,11.0198,3,11:07:21,11:03:06,1,107881427.0,11209870100.0,PCB铜箔+黄金采选+Q1业绩大增
2026-05-11,涨停池,002124.SZ,天邦食品,2.84,10.0775,13.7896,1,11:06:54,09:47:12,1,134690200.0,5600958900.0,猪肉+预重整+销量增长
2026-05-11,涨停池,002334.SZ,英威腾,9.15,9.976,15.8967,1,11:04:24,09:49:33,2,61827465.0,6725360700.0,液冷+机器人+新能源
2026-05-11,涨停池,000711.SZ,ST京蓝,5.95,4.9383,3.888,7,11:03:42,10:11:45,10,14807646.0,14168661000.0,铟靶材+一季度扭亏+摘帽预期
2026-05-11,涨停池,002623.SZ,亚玛顿,24.33,9.991,5.9736,1,11:02:21,11:02:21,,166930220.0,4832816900.0,光伏玻璃+特斯拉+钙钛矿+阿联酋项目
2026-05-11,涨停池,600869.SH,远东股份,20.82,9.9842,4.8895,1,10:59:15,10:15:27,39,111659742.0,46206924000.0,算力AI+光纤+商业航天+中标大单
2026-05-11,涨停池,688328.SH,深科达,70.31,20.0034,11.5777,1,10:58:57,10:58:57,,136633920.0,6641222100.0,存储芯片+半导体设备+业绩高增
2026-05-11,涨停池,600537.SH,*ST亿晶,3.3,5.0955,5.6764,3,10:58:44,09:35:35,4,8684610.0,3906259600.0,预重整协议+TOPCon电池+ST板块
2026-05-11,涨停池,000425.SZ,徐工机械,10.97,10.0301,2.1823,1,10:58:24,09:43:57,1,249373330.0,98831176000.0,挖掘机涨价+新能源+矿山机械+国企改革
2026-05-11,涨停池,003004.SZ,*ST声迅,40.25,5.0091,4.0586,4,10:58:00,09:25:00,15,2193625.0,2766849000.0,摘帽申请+安消一体化+智能安防
2026-05-11,涨停池,002569.SZ,*ST步森,15.87,5.0298,3.0537,2,10:56:39,10:20:54,4,4627692.0,2221958700.0,控制权变更+扭亏+男装品牌+宝鸡国资
2026-05-11,涨停池,002848.SZ,*ST高斯,16.37,5.0032,2.8555,1,10:55:36,10:55:36,,10882776.0,2699822400.0,算力+高频覆铜板+消费电子+潍坊国资
2026-05-11,涨停池,002943.SZ,宇晶股份,81.95,10.0,7.6479,1,10:53:00,10:53:00,,131832965.0,11941757900.0,半导体设备+碳化硅+光伏+年报扭亏
2026-05-11,涨停池,603303.SH,得邦照明,20.61,9.9787,1.468,1,10:52:33,10:52:33,,81877965.0,9829827700.0,车载照明+车灯控制器+汽车电子
2026-05-11,涨停池,688618.SH,三旺通信,46.8,20.0,6.6622,1,10:50:53,09:36:50,3,58609793.0,5150239300.0,光纤概念+储能+工业互联网
2026-05-11,涨停池,688545.SH,兴福电子,75.6,20.0,13.0576,1,10:47:25,09:30:58,2,76034246.0,13778100000.0,存储芯片+电子化学品+国企
2026-05-11,涨停池,300536.SZ,农尚环境,13.42,20.0358,13.4571,1,10:45:21,10:30:03,1,99117101.0,3935641400.0,算力租赁+芯片设计+园林绿化
2026-05-11,涨停池,603150.SH,万朗磁塑,73.48,10.0,2.8953,1,10:39:07,10:39:07,,130052252.0,6281290800.0,稀土永磁+钐铁氮+冰箱门封
2026-05-11,涨停池,001221.SZ,悍高集团,63.53,10.0087,9.55,1,10:38:03,10:38:03,,175148270.0,2287651800.0,家居五金+独角兽基地+国产替代+次新股
2026-05-11,涨停池,002650.SZ,ST加加,8.14,5.0323,1.1182,1,10:37:09,09:41:00,2,5229136.0,9011357100.0,减盐酱油+ST摘帽预期+一季度扭亏
2026-05-11,涨停池,603269.SH,海鸥股份,18.56,10.0178,6.0174,4,10:35:37,09:34:13,1,115832348.0,5730432800.0,液冷服务器+核电冷却塔+订单高增
2026-05-11,涨停池,300616.SZ,尚品宅配,17.59,19.9864,12.9313,1,10:35:36,10:31:21,3,82352158.0,2730253700.0,全屋板式家具+定制家居+AI设计+海外扩张
2026-05-11,涨停池,600078.SH,澄星股份,16.23,10.0339,8.877,2,10:32:16,09:42:52,2,93106625.0,10753557500.0,磷化工+新材料+业绩扭亏
2026-05-11,涨停池,603773.SH,沃格光电,80.03,10.0069,6.9917,1,10:29:31,09:42:58,3,106292805.0,17979430000.0,玻璃基板+CPO+MicroLED+商业航天
2026-05-11,涨停池,600584.SH,长电科技,55.83,10.0099,8.6726,1,10:29:27,10:29:27,,1843621000.0,99903015000.0,先进封装+存储封测+CPO+央企
2026-05-11,涨停池,600601.SH,方正科技,13.33,9.9835,8.5484,1,10:27:17,10:19:29,7,415324290.0,55590010000.0,PCB+光模块+AI扩建+珠海国资
2026-05-11,涨停池,000791.SZ,甘肃能源,10.12,10.0,7.9097,1,10:23:57,09:48:39,4,171018890.0,19588599000.0,东数西算二期+绿电装机+甘肃国资
2026-05-11,涨停池,600198.SH,大唐电信,9.72,9.9548,4.8218,1,10:22:35,10:22:35,,248178820.0,12654952100.0,低轨卫星+安全芯片+央企
2026-05-11,涨停池,000062.SZ,深圳华强,39.09,9.9887,7.9406,1,10:16:48,10:16:48,,675982390.0,40845144000.0,存储芯片+华为昇腾+分销龙头+一季报增长
2026-05-11,涨停池,600330.SH,天通股份,32.08,10.0137,10.4126,1,10:15:03,10:15:03,,669055670.0,39568576000.0,铌酸锂量产+光模块+商业航天
2026-05-11,涨停池,000811.SZ,冰轮环境,28.91,10.0076,3.4265,1,10:13:51,10:13:51,,315093130.0,28285419000.0,拟收购+液冷+核电+氦气压缩机
2026-05-11,涨停池,300302.SZ,同有科技,42.6,20.0,17.6142,1,10:09:21,09:33:15,2,155145540.0,15711472000.0,存储芯片+AI智算+业绩暴增
2026-05-11,涨停池,600236.SH,桂冠电力,11.63,10.0284,0.4618,1,10:05:54,09:59:18,2,183987470.0,91672054000.0,水电高增+高股息+央企
2026-05-11,涨停池,600769.SH,祥龙电业,19.58,10.0,4.4492,1,10:02:35,09:52:35,2,97395169.0,7342053600.0,武汉新城+供水+国企
2026-05-11,涨停池,000060.SZ,中金岭南,8.75,10.0629,7.4542,4,10:02:12,09:38:18,1,377259860.0,38859767000.0,锗产品+铅锌铜+广东国资+一季报增长
2026-05-11,涨停池,688766.SH,普冉股份,381.0,20.0,5.7413,1,10:01:08,09:36:02,8,329087990.0,56406708000.0,存储芯片+2D NAND收购+业绩高增
2026-05-11,涨停池,605189.SH,富春染织,19.97,10.0275,10.0288,2,10:01:07,09:37:34,2,15102832.0,4001113600.0,人形机器人+PEEK材料+筒子纱龙头+业绩暴增
2026-05-11,涨停池,002066.SZ,瑞泰科技,25.66,9.9871,2.6648,1,10:00:33,10:00:33,,83374472.0,5927460000.0,核电材料+耐火材料+央企
2026-05-11,涨停池,000838.SZ,*ST发展,2.02,5.2083,3.8801,1,09:57:54,09:57:54,,9427535.9,2128607000.0,江西中久拟入主+房地产+ST板块
2026-05-11,涨停池,603557.SH,*ST起步,4.73,5.1111,1.3267,7,09:56:24,09:33:15,1,9892932.2,2948856500.0,童装童鞋+三胎概念+ST板块+复牌
2026-05-11,涨停池,002585.SZ,双星新材,8.68,10.0127,6.7223,1,09:54:51,09:54:51,,252197670.0,7697048500.0,MLCC离型膜+复合铜箔+聚酯薄膜
